node_id,canonical_firm_id,canonical_name,node_type,year,direct_exposure,cascading_exposure,dependency_concentration,structural_non_substitutability,intrinsic_risk,incident_signal,network_criticality,node_vulnerability,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm,composite_risk
103,FIRM_0137,SAP Deutschland,target_entity,2025,0.04981489070854781,0.017534535150093514,1.0,0.5,0.0,0.0,0.05139595174746878,0.012848987936867194,0.4329268292682926,0.5670731707317073,0.75,0.4573170731707317,0.525609756097561
107,FIRM_0141,SAP LeanIX,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
109,FIRM_0143,SAP Schweiz,target_entity,2025,0.04981489070854781,0.017534535150093514,1.0,0.5,0.0,0.0,0.05139595174746878,0.012848987936867194,0.4329268292682926,0.5670731707317073,0.75,0.4573170731707317,0.525609756097561
110,FIRM_0144,SAP Signavio,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
112,FIRM_0146,SAP UK,target_entity,2025,0.04981489070854781,0.017534535150093514,1.0,0.5,0.0,0.0,0.05139595174746878,0.012848987936867194,0.4329268292682926,0.5670731707317073,0.75,0.4573170731707317,0.525609756097561
114,FIRM_0149,Salesforce,target_entity,2025,0.07271000490311576,0.1295037132768791,1.0,0.5,0.0,0.0,0.03712020385057302,0.009280050962643255,0.573170731707317,0.8536585365853658,0.75,0.4573170731707317,0.6530487804878049
118,FIRM_0154,SmartRecruiters,target_entity,2025,0.04981489070854781,0.017534535150093514,1.0,0.5,0.0,0.0,0.05139595174746878,0.012848987936867194,0.4329268292682926,0.5670731707317073,0.75,0.4573170731707317,0.525609756097561
119,FIRM_0155,Snowflake,source_firm,2025,0.0990527799617103,0.20217974275752226,0.19569396386005386,0.125,0.6499999999999999,0.0,0.28134813039415857,0.3953370325985396,0.7073170731707318,0.9024390243902438,0.36585365853658536,0.07317073170731707,0.6146341463414634
121,FIRM_0159,Sun Art Retail,target_entity,2025,0.1800469080547418,0.006294613031030088,1.0,0.5,0.0,0.0,0.057807670693133494,0.014451917673283373,0.8597560975609756,0.4329268292682926,0.75,0.4573170731707317,0.7121951219512196
122,FIRM_0162,Tencent Cloud,target_entity,2025,0.11936507936507935,0.017832219000578676,1.0,0.5,0.0,0.0,0.07294779395962664,0.01823694848990666,0.75,0.6280487804878049,0.75,0.4573170731707317,0.6963414634146342
123,FIRM_0163,Teradata,source_firm,2025,0.05103570665830397,0.08539267546259678,0.14714033761652806,0.1111111111111111,0.4166666666666667,0.0007980845969672786,0.259201899137621,0.2733333292669804,0.4878048780487805,0.8048780487804877,0.34146341463414637,0.04878048780487805,0.4780487804878049
126,FIRM_0166,Trendyol,target_entity,2025,0.07716296059488936,0.002697691299012896,1.0,0.5,0.0,0.0,0.03838015818821368,0.00959503954705342,0.5975609756097561,0.36585365853658536,0.75,0.4573170731707317,0.5676829268292684
128,FIRM_0168,Voyage AI,target_entity,2025,0.19396825396825396,0.02897735587594035,1.0,0.5,0.0,0.0,0.10365921280344091,0.025914803200860228,0.9024390243902438,0.7195121951219512,0.75,0.4573170731707317,0.7908536585365854
129,FIRM_0169,WalkMe,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
130,FIRM_0170,Waymo,target_entity,2025,0.007606457935399379,0.0,1.0,0.5,0.0,0.0710295291300878,0.038210174023281335,0.027309925788342283,0.34146341463414637,0.17682926829268295,0.75,0.4573170731707317,0.40182926829268295
131,FIRM_0171,Whole Foods Market,target_entity,2025,0.18602166357798053,0.010727658054006411,1.0,0.5,0.0,0.0,0.05134500250145349,0.012836250625363373,0.8902439024390243,0.4634146341463415,0.75,0.4573170731707317,0.7335365853658536
132,FIRM_0172,Wiz,target_entity,2025,0.006338714946166149,0.0,1.0,0.5,0.0,0.0,0.03581006565432175,0.008952516413580438,0.323170731707317,0.17682926829268295,0.75,0.4573170731707317,0.39268292682926825
